,logit,RF,xgb,NN
hmeq_AUC,0.754,0.954,0.93,0.776
ucid_AUC,0.672,0.702,0.748,0.744
ucig_AUC,0.589,0.52,0.592,0.622
ucip_AUC,0.668,0.831,0.906,0.728
kaggle_AUC,0.698,0.838,0.867,0.835
hmeq_G-means,0.333,0.447,0.447,0.394
ucid_G-means,0.0,0.213,0.165,0.135
ucig_G-means,0.0,0.0,0.0,0.0
ucip_G-means,0.0,0.345,0.551,0.0
kaggle_G-means,0.153,0.309,0.344,0.231
hmeq_F1-score,0.196,0.333,0.327,0.269
ucid_F1-score,0.0,0.083,0.051,0.035
ucig_F1-score,0.0,0.0,0.0,0.0
ucip_F1-score,0.0,0.193,0.459,0.0
kaggle_F1-score,0.044,0.161,0.197,0.096
AR,3.667,1.967,1.567,2.8
